objective_value,dual_bound,solution,time,termination,nodes,num_blocked_cycles,ceiling,time_limit,shortest_cycles,nullspace_formulation,block_limit
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.9999999999999999,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,1.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,-0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
0.0,0.8769533547071893,0.0,1800.054744,TIME_LIMIT,52039,100,500,1800,false,false,100
